what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1556100650293
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1556100650369
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1556100650370
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1556100650371
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1556100650419
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1556100650420
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1556100650421
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1556100650423
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1556100650425
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1556100650441
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1556100650443
started,bundle,de.innot.avreclipse.core,2.4.2,"de.innot.avreclipse.core",1556100650445
os,sysinfo,,,"win32",1556100650453
arch,sysinfo,,,"x86",1556100650453
ws,sysinfo,,,"win32",1556100650453
locale,sysinfo,,,"en_US",1556100650453
processors,sysinfo,,,"2",1556100650453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1556100650453
java.runtime.version,sysinfo,,,"1.8.0_202-b08",1556100650453
java.specification.name,sysinfo,,,"Java Platform API Specification",1556100650453
java.specification.vendor,sysinfo,,,"Oracle Corporation",1556100650453
java.specification.version,sysinfo,,,"1.8",1556100650453
java.vendor,sysinfo,,,"Oracle Corporation",1556100650453
java.version,sysinfo,,,"1.8.0_202",1556100650453
java.vm.info,sysinfo,,,"mixed mode",1556100650453
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1556100650454
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1556100650454
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1556100650454
java.vm.specification.version,sysinfo,,,"1.8",1556100650454
java.vm.vendor,sysinfo,,,"Oracle Corporation",1556100650454
java.vm.version,sysinfo,,,"25.202-b08",1556100650454
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1556100650746
